GOODS_CODE,SUFFIX,INDENT,DESCRIPTION,IS_LEAF,START_DATE
0105119100,80,5,Laying stocks,1,01-01-1993
0105119900,80,5,Other,1,01-01-1993
0105120000,80,3,Turkeys,1,01-01-1996
0105130000,80,3,Ducks,1,01-01-2012
0105140000,80,3,Geese,1,01-01-2012
0105150000,80,3,Guinea fowls,1,01-01-2012
0105940000,10,2,Other,,01-01-2007
0105940000,80,3,Fowls of the species Gallus domesticus,1,01-01-2007
0105990000,80,3,Other,0,01-01-1972
0105991000,80,4,Ducks,1,01-01-1972
0105992000,80,4,Geese,1,01-01-1972
0105993000,80,4,Turkeys,1,01-01-1972
0105995000,80,4,Guinea fowls,1,01-01-1972
0106000000,80,1,Other live animals,0,01-01-1972
0106110000,10,2,Mammals,,01-01-2002
0106110000,80,3,Primates,1,01-01-2002
0106120000,80,3,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",1,01-01-2002
0106130000,80,3,Camels and other camelids (Camelidae),1,01-01-2012
0106140000,80,3,Rabbits and hares,0,01-01-2012
0106141000,80,4,Domestic rabbits,1,01-01-2012
0106149000,80,4,Other,1,01-01-2012
0106190000,80,3,Other,1,01-01-2002
0106200000,80,2,Reptiles (including snakes and turtles),1,01-01-2002
0106310000,10,2,Birds,,01-01-2002
0106310000,80,3,Birds of prey,1,01-01-2002
0106320000,80,3,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",1,01-01-2002
0106330000,80,3,Ostriches; emus (Dromaius novaehollandiae),1,01-01-2012
0106390000,80,3,Other,0,01-01-2002
0106391000,80,4,Pigeons,1,01-01-2002
0106398000,80,4,Other,1,01-01-2012
0106410000,10,2,Insects,,01-01-2012
0106410000,80,3,Bees,1,01-01-2012
0106490000,80,3,Other,1,01-01-2012
0106900000,80,2,Other,0,01-01-2002
0106900010,10,3,Frogs,,01-01-2021
0106900010,80,4,Fit for human consumption,1,01-01-2021
0106900019,80,4,Other,1,01-01-2021
0106900090,80,3,Other,1,01-01-2021
0200000000,80,0,Meat and edible meat offal,0,31-12-1971
0201000000,80,1,"Meat of bovine animals, fresh or chilled",0,01-01-1972
0201100000,80,2,Carcases and half-carcases,0,01-01-1972
0201100021,10,3,High quality beef and veal,,21-09-2017
0201100021,80,4,Of bison,1,21-09-2017
0201100029,80,4,Other,1,21-09-2017
0201100092,10,3,Other,,21-09-2017
0201100092,20,4,"Carcases of a weight of 180 kg or more but not exceeding 300 kg and half-carcases, of a weight of 90 kg or more but not exceeding 150 kg, with a low degree of ossification of the cartilages (in particular those of the symphysis pubis and the vertebral apophyses), the meat of which is a light pink colour and the fat of which, of extremely fine structure, is white to light yellow in colour",,21-09-2017
0201100092,80,5,Of bison,1,21-09-2017
0201100094,80,5,Other,1,21-09-2017
0201100097,10,4,Other,,21-09-2017
0201100097,80,5,Of bison,1,21-09-2017
0201100098,80,5,Other,1,21-09-2017
0201200000,80,2,Other cuts with bone in,0,01-01-1972
0201202000,80,3,'Compensated' quarters,0,01-01-1993
0201202021,10,4,High quality beef and veal,,21-09-2017
0201202021,80,5,Of bison,1,21-09-2017
0201202029,80,5,Other,1,21-09-2017
0201202092,10,4,Other,,21-09-2017
0201202092,20,5,"""Compensated"" quarters, of a weight of 90 kg or more but not exceeding 150 kg, with a low degree of ossification of the cartilages (in particular those of the symphysis pubis and the vertebral apophyses), the meat of which is a light pink colour and the fat of which, of extremely fine structure, is white to light yellow in colour",,21-09-2017
0201202092,80,6,Of bison,1,21-09-2017
0201202094,80,6,Other,1,21-09-2017
0201202097,10,5,Other,,21-09-2017
0201202097,80,6,Of bison,1,21-09-2017
0201202098,80,6,Other,1,21-09-2017
0201203000,80,3,Unseparated or separated forequarters,0,01-01-1993
0201203021,10,4,High quality beef and veal,,21-09-2017
0201203021,80,5,Of bison,1,21-09-2017
0201203029,80,5,Other,1,21-09-2017
0201203092,10,4,Other,,21-09-2017
0201203092,20,5,"Separated forequarters of a weight of 45 kg or more but not exceeding 75 kg, with a low degree of ossification of the cartilages (in particular those of the vertebral apophyses), the meat of which is a light pink colour and the fat of which, of extremely fine structure, is white to light yellow in colour",,21-09-2017
0201203092,80,6,Of bison,1,21-09-2017
0201203094,80,6,Other,1,21-09-2017
0201203097,10,5,Other,,21-09-2017
0201203097,80,6,Of bison,1,21-09-2017
0201203098,80,6,Other,1,21-09-2017
0201205000,80,3,Unseparated or separated hindquarters,0,01-01-1993
0201205021,10,4,High quality beef and veal,,21-09-2017
0201205021,80,5,Of bison,1,21-09-2017
0201205029,80,5,Other,1,21-09-2017
0201205092,10,4,Other,,21-09-2017
0201205092,20,5,"Separated hindquarters of a weight of 45 kg or more but not exceeding 75 kg (38 kg or more but not exceeding 68 kg in the case of ""Pistola"" cuts), with a low degree of ossification of the cartilages (more especially those of the vertebral apophyses), the meat of which is a light pink colour and the fat of which, of extremely fine structure, is white to light yellow in colour",,21-09-2017
0201205092,80,6,Of bison,1,21-09-2017
0201205094,80,6,Other,1,21-09-2017
0201205097,10,5,Other,,21-09-2017
0201205097,80,6,Of bison,1,21-09-2017
0201205098,80,6,Other,1,21-09-2017
0201209000,80,3,Other,0,01-01-1972
0201209011,10,4,High quality beef and veal,,21-09-2017
0201209011,80,5,Of bison,1,21-09-2017
0201209015,80,5,Other,1,21-09-2017
0201209091,10,4,Other,,21-09-2017
0201209091,80,5,Of bison,1,21-09-2017
0201209099,80,5,Other,1,21-09-2017
0201300000,80,2,Boneless,0,01-01-1972
0201300031,10,3,High quality,,21-09-2017
0201300031,80,4,Of bison,1,21-09-2017
0201300039,80,4,Other,1,21-09-2017
0201300041,10,3,Other,,21-09-2017
0201300041,20,4,Buffalo meat,,21-09-2017
0201300041,80,5,Of bison,1,21-09-2017
0201300049,80,5,Other,1,21-09-2017
0201300090,80,4,Other,1,01-01-1972
0202000000,80,1,"Meat of bovine animals, frozen",0,01-01-1972
0202100000,80,2,Carcases and half-carcases,0,01-01-1972
0202100011,10,3,High quality beef and veal,,21-09-2017
0202100011,80,4,Of bison,1,21-09-2017
0202100015,80,4,Other,1,21-09-2017
0202100091,10,3,Other,,21-09-2017
0202100091,80,4,Of bison,1,21-09-2017
0202100099,80,4,Other,1,21-09-2017
0202200000,80,2,Other cuts with bone in,0,01-01-1972
0202201000,80,3,'Compensated' quarters,0,01-01-1972
0202201011,10,4,High quality beef and veal,,21-09-2017
0202201011,80,5,Of bison,1,21-09-2017
0202201015,80,5,Other,1,21-09-2017
0202201091,10,4,Other,,21-09-2017
0202201091,80,5,Of bison,1,21-09-2017
0202201099,80,5,Other,1,21-09-2017
0202203000,80,3,Unseparated or separated forequarters,0,01-01-1972
0202203011,10,4,High quality beef and veal,,21-09-2017
0202203011,80,5,Of bison,1,21-09-2017
0202203015,80,5,Other,1,21-09-2017
0202203081,10,4,Other,,21-09-2017
0202203081,20,5,Intended for processing,,21-09-2017
0202203081,30,6,"For the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meat (excluding offal and fat) with meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part (A-products)",,21-09-2017
0202203081,80,7,Of bison,1,21-09-2017
0202203082,80,7,Other,1,21-09-2017
0202203083,10,6,"For the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61 (B-products)",,21-09-2017
0202203083,80,7,Of bison,1,21-09-2017
0202203084,80,7,Other,1,21-09-2017
0202203085,10,6,Other,,21-09-2017
0202203085,80,7,Of bison,1,21-09-2017
0202203086,80,7,Other,1,21-09-2017
0202203087,10,5,Other,,21-09-2017
0202203087,80,6,Of bison,1,21-09-2017
0202203088,80,6,Other,1,21-09-2017
0202205000,80,3,Unseparated or separated hindquarters,0,01-01-1972
0202205011,10,4,High quality beef and veal,,21-09-2017
0202205011,80,5,Of bison,1,21-09-2017
0202205015,80,5,Other,1,21-09-2017
0202205091,10,4,Other,,21-09-2017
0202205091,80,5,Of bison,1,21-09-2017
0202205099,80,5,Other,1,21-09-2017
0202209000,80,3,Other,0,01-01-1972
0202209011,10,4,High quality beef and veal,,21-09-2017
0202209011,80,5,Of bison,1,21-09-2017
0202209015,80,5,Other,1,21-09-2017
0202209091,10,4,Other,,21-09-2017
0202209091,80,5,Of bison,1,21-09-2017
0202209099,80,5,Other,1,21-09-2017
0202300000,80,2,Boneless,0,01-01-1972
0202301000,80,3,"Forequarters, whole or cut into a maximum of five pieces, each quarter being in a single block; 'compensated' quarters in two blocks, one of which contains the forequarter, whole or cut into a maximum of five pieces, and the other, the hindquarter, excluding the tenderloin, in one piece",0,01-01-1972
0202301011,10,4,High quality beef and veal,,21-09-2017
0202301011,80,5,Of bison,1,21-09-2017
0202301015,80,5,Other,1,21-09-2017
0202301081,10,4,Other,,21-09-2017
0202301081,20,5,Intended for processing,,21-09-2017
0202301081,30,6,"For the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meat (excluding offal and fat) with meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part (A-products)",,21-09-2017
0202301081,80,7,Of bison,1,21-09-2017
0202301082,80,7,Other,1,21-09-2017
0202301083,10,6,"For the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61 (B-products)",,21-09-2017
0202301083,80,7,Of bison,1,21-09-2017
0202301084,80,7,Other,1,21-09-2017
0202301085,10,6,Other,,21-09-2017
0202301085,80,7,Of bison,1,21-09-2017
0202301086,80,7,Other,1,21-09-2017
0202301087,10,5,Other,,21-09-2017
0202301087,80,6,Of bison,1,21-09-2017
0202301088,80,6,Other,1,21-09-2017
0202305000,80,3,"Crop, chuck-and-blade and brisket cuts",0,01-01-1972
0202305011,10,4,High quality beef and veal,,21-09-2017
0202305011,80,5,Of bison,1,21-09-2017
0202305015,80,5,Other,1,21-09-2017
0202305081,10,4,Other,,21-09-2017
0202305081,20,5,Intended for processing,,21-09-2017
0202305081,30,6,"For the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meat (excluding offal and fat) with meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part (A-products)",,21-09-2017
0202305081,80,7,Of bison,1,21-09-2017
0202305082,80,7,Other,1,21-09-2017
0202305083,10,6,"For the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61 (B-products)",,21-09-2017
0202305083,80,7,Of bison,1,21-09-2017
0202305084,80,7,Other,1,21-09-2017
0202305085,10,6,Other,,21-09-2017
0202305085,80,7,Of bison,1,21-09-2017
0202305086,80,7,Other,1,21-09-2017
0202305087,10,5,Other,,21-09-2017
0202305087,80,6,Of bison,1,21-09-2017
0202305088,80,6,Other,1,21-09-2017
0202309000,80,3,Other,0,01-01-1972
0202309011,10,4,High quality,,21-09-2017
0202309011,80,5,Of bison,1,21-09-2017
0202309015,80,5,Other,1,21-09-2017
0202309041,10,4,Other,,21-09-2017
0202309041,20,5,Buffalo meat,,21-09-2017
0202309041,30,6,Intended for processing,,21-09-2017
0202309041,40,7,"For the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meat (excluding offal and fat) with meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part (A-products)",,21-09-2017
0202309041,80,8,Of bison,1,21-09-2017
0202309042,80,8,Other,1,21-09-2017
0202309043,10,7,"For the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61 (B-products)",,21-09-2017
0202309043,80,8,Of bison,1,21-09-2017
0202309044,80,8,Other,1,21-09-2017
0202309045,10,7,Other,,21-09-2017
0202309045,80,8,Of bison,1,21-09-2017
0202309046,80,8,Other,1,21-09-2017
0202309047,10,6,Other,,21-09-2017
0202309047,80,7,Of bison,1,21-09-2017
0202309048,80,7,Other,1,21-09-2017
0202309070,10,5,Other,,01-07-1996
0202309070,20,6,Intended for processing,,01-07-1996
0202309070,80,7,"For the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meat (excluding offal and fat) with meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part (A-products)",1,01-07-1996
0202309075,80,7,"For the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61 (B-products)",1,01-07-1996
0202309080,80,7,Other,1,01-07-1996
0202309090,80,6,Other,1,01-07-1996
0203000000,80,1,"Meat of swine, fresh, chilled or frozen",0,01-01-1972
0203110000,10,2,Fresh or chilled,,01-01-1972
0203110000,80,3,Carcases and half-carcases,0,01-01-1972
0203111000,80,4,Of domestic swine,1,01-01-1972
0203119000,80,4,Other,1,01-01-1972
0203120000,80,3,"Hams, shoulders and cuts thereof, with bone in",0,01-01-1972
0203121100,10,4,Of domestic swine,,01-01-1972
0203121100,80,5,Hams and cuts thereof,1,01-01-1972
0203121900,80,5,Shoulders and cuts thereof,1,01-01-1972
0203129000,80,4,Other,1,01-01-1972
0203190000,80,3,Other,0,01-01-1972
0203191100,10,4,Of domestic swine,,01-01-1972
0203191100,80,5,Fore-ends and cuts thereof,1,01-01-1972
0203191300,80,5,"Loins and cuts thereof, with bone in",1,01-01-1972
0203191500,80,5,Bellies (streaky) and cuts thereof,1,01-01-1972
0203195500,10,5,Other,,01-01-1972
0203195500,80,6,Boneless,0,01-01-1972
0203195510,80,7,"Tenderloin, presented separately",1,01-03-1992
0203195515,10,7,"Loins and cuts thereof, excluding tenderloin presented separately",,01-07-2006
0203195515,80,8,Loins,1,01-07-2006
0203195525,80,8,Cuts,1,01-07-2006
0203195530,80,7,Ham and cuts of ham,1,01-07-1995
0203195590,80,7,Other,1,01-03-1992
0203195900,80,6,Other,1,01-01-1972
0203199000,80,4,Other,1,01-01-1972
0203210000,10,2,Frozen,,01-01-1972
0203210000,80,3,Carcases and half-carcases,0,01-01-1972
0203211000,80,4,Of domestic swine,1,01-01-1972
0203219000,80,4,Other,1,01-01-1972
0203220000,80,3,"Hams, shoulders and cuts thereof, with bone in",0,01-01-1972
0203221100,10,4,Of domestic swine,,01-01-1972
0203221100,80,5,Hams and cuts thereof,1,01-01-1972
0203221900,80,5,Shoulders and cuts thereof,1,01-01-1972
0203229000,80,4,Other,1,01-01-1972
0203290000,80,3,Other,0,01-01-1972
0203291100,10,4,Of domestic swine,,01-01-1972
0203291100,80,5,Fore-ends and cuts thereof,1,01-01-1972
0203291300,80,5,"Loins and cuts thereof, with bone in",1,01-01-1972
0203291500,80,5,Bellies (streaky) and cuts thereof,1,01-01-1972
0203295500,10,5,Other,,01-01-1972
0203295500,80,6,Boneless,0,01-01-1972
0203295520,10,7,"Loins and cuts thereof, excluding tenderloin presented separately",,01-07-2006
0203295520,80,8,Loins,1,01-07-2006
0203295530,80,8,Cuts,1,01-07-2006
0203295591,10,7,Other,,01-03-1992
0203295591,80,8,"Tenderloin, presented separately",1,01-03-1992
0203295592,80,8,Ham and cuts of ham,1,01-07-1995
0203295599,80,8,Other,1,01-03-1992
0203295900,80,6,Other,1,01-01-1972
0203299000,80,4,Other,1,01-01-1972
0204000000,80,1,"Meat of sheep or goats, fresh, chilled or frozen",0,01-01-1972
0204100000,80,2,"Carcases and half-carcases of lamb, fresh or chilled",0,01-01-1972
0204100010,80,3,Of domestic lamb,1,01-01-1972
0204100090,80,3,Other,1,01-01-1972
0204210000,10,2,"Other meat of sheep, fresh or chilled",,01-01-1972
0204210000,80,3,Carcases and half-carcases,0,01-01-1972
0204210010,80,4,Of domestic sheep,1,01-01-1972
0204210090,80,4,Other,1,01-01-1972
0204220000,80,3,Other cuts with bone in,0,01-01-1972
0204221000,80,4,Short forequarters,0,01-01-1972
0204221010,80,5,Of domestic sheep,1,01-01-1972
0204221090,80,5,Other,1,01-01-1972
0204223000,80,4,Chines and/or best ends,0,01-01-1972
0204223010,80,5,Of domestic sheep,1,01-01-1972
0204223090,80,5,Other,1,01-01-1972
0204225000,80,4,Legs,0,01-01-1972
0204225010,80,5,Of domestic sheep,1,01-01-1972
0204225090,80,5,Other,1,01-01-1972
0204229000,80,4,Other,0,01-01-1972
0204229010,80,5,Of domestic sheep,1,01-01-1972
0204229090,80,5,Other,1,01-01-1972
0204230000,80,3,Boneless,0,01-01-1972
0204230011,10,4,Of domestic sheep,,01-01-2004
0204230011,80,5,Of lamb,1,01-01-2004
0204230019,80,5,Other,1,01-01-2004
0204230091,10,4,Other,,01-01-2004
0204230091,80,5,Of lamb,1,01-01-2004
0204230099,80,5,Other,1,01-01-2004
0204300000,80,2,"Carcases and half-carcases of lamb, frozen",0,01-01-1972
0204300010,80,3,Of domestic lamb,1,01-01-1972
0204300090,80,3,Other,1,01-01-1972
0204410000,10,2,"Other meat of sheep, frozen",,01-01-1972
0204410000,80,3,Carcases and half-carcases,0,01-01-1972
0204410010,80,4,Of domestic sheep,1,01-01-1972
0204410090,80,4,Other,1,01-01-1972
0204420000,80,3,Other cuts with bone in,0,01-01-1972
0204421000,80,4,Short forequarters,0,01-01-1972
0204421010,80,5,Of domestic sheep,1,01-01-1972
0204421090,80,5,Other,1,01-01-1972
0204423000,80,4,Chines and/or best ends,0,01-01-1972
0204423010,80,5,Of domestic sheep,1,01-01-1972
0204423090,80,5,Other,1,01-01-1972
0204425000,80,4,Legs,0,01-01-1972
0204425010,80,5,Of domestic sheep,1,01-01-1972
0204425090,80,5,Other,1,01-01-1972
0204429000,80,4,Other,0,01-01-1972
0204429010,80,5,Of domestic sheep,1,01-01-1972
0204429090,80,5,Other,1,01-01-1972
0204430000,80,3,Boneless,0,01-01-1972
0204431000,80,4,Of lamb,0,01-01-1993
0204431010,80,5,Of domestic sheep,1,01-01-1993
0204431090,80,5,Other,1,01-01-1993
0204439000,80,4,Other,0,01-01-1993
0204439010,80,5,Of domestic sheep,1,01-01-1993
0204439090,80,5,Other,1,01-01-1993
0204500000,80,2,Meat of goats,0,01-01-1972
0204501100,10,3,Fresh or chilled,,01-01-1972
0204501100,80,4,Carcases and half-carcases,1,01-01-1972
0204501300,80,4,Short forequarters,1,01-01-1972
0204501500,80,4,Chines and/or best ends,1,01-01-1972
0204501900,80,4,Legs,1,01-01-1972
0204503100,10,4,Other,,01-01-1972
0204503100,80,5,Cuts with bone in,1,01-01-1972
0204503900,80,5,Boneless cuts,0,01-01-1972
0204503910,80,6,Goatmeat of kid,1,01-01-2004
0204503990,80,6,Other,1,01-01-2004
0204505100,10,3,Frozen,,01-01-1972
0204505100,80,4,Carcases and half-carcases,1,01-01-1972
0204505300,80,4,Short forequarters,1,01-01-1972
0204505500,80,4,Chines and/or best ends,1,01-01-1972
0204505900,80,4,Legs,1,01-01-1972
0204507100,10,4,Other,,01-01-1972
0204507100,80,5,Cuts with bone in,1,01-01-1972
0204507900,80,5,Boneless cuts,0,01-01-1972
0204507910,80,6,Goatmeat of kid,1,01-01-2004
0204507990,80,6,Other,1,01-01-2004
0205000000,80,1,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",0,01-01-1972
0205002000,80,2,Fresh or chilled,1,01-01-2004
0205008000,80,2,Frozen,1,01-01-2004
